pk,name,category,direct_parents
10322,Fraser,other,1028
10323,Richmond,other,"2217,1028"
10324,St. Clair Shores,other,1028
10325,Mount Clemens,other,1028
10326,Memphis,other,"2217,1028"
10327,Roseville,other,1028
10328,Utica,other,1028
10329,Warren,other,1028
10330,Village of Grosse Pointe Shores,other,"2059,1028"
10331,Sterling Heights,other,1028
10332,Bay Shore,other,"1511,1029"
10333,Advance,other,1029
10334,St. James,other,1029
10335,Horton Bay,other,1029
10336,Boyne City,other,1029
10337,East Jordan,other,1029
10338,Norwood,other,1029
10339,Charlevoix,other,1029
10340,Boyne Falls,other,1029
10341,Ironton,other,1029
10342,Walloon Lake,other,1029
10343,Argo,other,"1506,1030"
10344,Trussville,other,"1506,1030"
10345,Odenville,other,1030
10346,Pell City,other,1030
10347,Moody,other,1030
10348,Leeds,other,"1506,2056,1030"
10349,Margaret,other,1030
10350,Riverside,other,1030
10351,Ragland,other,1030
10352,Steele,other,1030
10353,Springville,other,1030
10354,Ashville,other,1030
10355,Union,other,1031
10356,Forkland,other,1031
10357,Boligee,other,1031
10358,Eutaw,other,1031
10359,Repton,other,1032
10360,McKenzie,other,"3056,1032"
10361,Castleberry,other,1032
10362,Evergreen,other,1032
10363,Amasa,other,1033
10364,Alpha,other,1033
10365,Caspian,other,1033
10366,Gaastra,other,1033
10367,Iron River,other,1033
10368,Crystal Falls,other,1033
10369,Beardsley,other,1034
10370,Barry,other,1034
10371,Correll,other,1034
10372,Johnson,other,1034
10373,Clinton,other,1034
10374,Odessa,other,1034
10375,Ortonville,other,1034
10376,Graceville,other,1034
10377,Glyndon,other,1035
10378,Hitterdal,other,1035
10379,Felton,other,1035
10380,Sabin,other,1035
10381,Moorhead,other,1035
10382,Hawley,other,1035
10383,Ulen,other,1035
10384,Baker,other,1035
10385,Comstock,other,1035
10386,Dilworth,other,1035
10387,Barnesville,other,1035
10388,Georgetown,other,1035
10389,Mentor,other,1036
10390,Erskine,other,1036
10391,Trail,other,1036
10392,Gully,other,1036
10393,Beltrami,other,1036
10394,McIntosh,other,1036
10395,Winger,other,1036
10396,Fisher,other,1036
10397,Crookston,other,1036
10398,Nielsville,other,1036
10399,Climax,other,1036
10400,East Grand Forks,other,1036
10401,Fosston,other,1036
10402,Lengby,other,1036
10403,Fertile,other,1036
10404,Roosevelt,other,"1037,2503"
10405,Williams,other,1037
10406,Baudette,other,1037
10407,Angle Inlet,other,1037
10408,Knife River,other,1038
10409,Beaver Bay,other,1038
10410,Silver Bay,other,1038
10411,Two Harbors,other,1038
10412,Finland,other,1038
10413,Hanley Falls,other,1039
10414,Echo,other,1039
10415,Porter,other,1039
10416,Hazel Run,other,1039
10417,Wood Lake,other,1039
10418,St. Leo,other,1039
10419,Clarkfield,other,1039
10420,Granite Falls,other,"1039,1623"
10421,Canby,other,1039
10422,Alcorn State University,other,1040
10423,Pattison,other,1040
10424,Port Gibson,other,1040
10425,Hermanville,other,1040
10426,Lamar,other,1041
10427,Snow Lake Shores,other,1041
10428,Ashland,other,1041
10429,Hickory Flat,other,1041
10430,Fountain N' Lakes,other,1042
10431,Truxton,other,1042
10432,Whiteside,other,1042
10433,Foley,other,1042
10434,Cave,other,1042
10435,Silex,other,1042
10436,Troy,other,1042
10437,Winfield,other,1042
10438,Old Monroe,other,1042
10439,Hawk Point,other,1042
10440,Elsberry,other,1042
10441,Chain of Rocks,other,1042
10442,Moscow Mills,other,1042
10443,Florence,other,1043
10444,Corvallis,other,1043
10445,Charlos Heights,other,1043
10446,Pinesdale,other,1043
10447,Stevensville,other,1043
10448,Sula,other,1043
10449,Darby,other,1043
10450,Hamilton,other,1043
10451,Victor,other,1043
10452,Conner,other,1043
10453,Brockton,other,1044
10454,Bainville,other,1044
10455,Poplar,other,1044
10456,Culbertson,other,1044
10457,Froid,other,1044
10458,Wolf Point,other,1044
10459,Hogeland,other,1045
10460,Hartland Colony,other,1045
10461,Harlem,other,1045
10462,Turner Colony,other,1045
10463,Turner,other,1045
10464,Chinook,other,1045
10465,Hays,other,1045
10466,Zurich,other,1045
10467,North Harlem Colony,other,1045
10468,Fort Belknap Agency,other,1045
10469,Lodge Pole,other,1045
10470,Franklin,other,1046
10471,Campbell,other,1046
10472,Riverton,other,1046
10473,Hildreth,other,1046
10474,Bloomington,other,1046
10475,Naponee,other,1046
10476,Upland,other,1046
10477,Springview,other,1047
10478,Burton,other,1047
10479,Ruth,other,1048
10480,Baker,other,1048
10481,McGill,other,1048
10482,Ely,other,1048
10483,Lund,other,1048
10484,Preston,other,1048
10485,Lancaster,other,1049
10486,Berlin,other,1049
10487,Groveton,other,1049
10488,Whitefield,other,1049
10489,West Stewartstown,other,1049
10490,Colebrook,other,1049
10491,Gorham,other,1049
10492,Auburn,other,1050
10493,Quinton,other,1050
10494,Elmer,other,1050
10495,Olivet,other,1050
10496,Salem,other,1050
10497,Woodstown,other,1050
10498,Hancocks Bridge,other,1050
10499,Alloway,other,1050
10500,Pedricktown,other,1050
10501,Pennsville,other,1050
10502,Carneys Point,other,1050
10503,Penns Grove,other,1050
10504,Buckhorn,other,1051
10505,Faywood,other,1051
10506,Hurley,other,1051
10507,Cobre,other,1051
10508,Arenas Valley,other,1051
10509,Trout Valley,other,1051
10510,Hachita,other,1051
10511,Lake Roberts,other,1051
10512,Gila Hot Springs,other,1051
10513,Lake Roberts Heights,other,1051
10514,Tyrone,other,1051
10515,Pinos Altos,other,1051
10516,Gila,other,1051
10517,White Signal,other,1051
10518,Silver City,other,1051
10519,Casas Adobes,other,1051
10520,Bayard,other,1051
10521,Hanover,other,1051
10522,North Hurley,other,1051
10523,Mimbres,other,1051
10524,Santa Clara,other,1051
10525,Little Walnut Village,other,1051
10526,San Lorenzo,other,1051
10527,Cliff,other,1051
10528,Rosedale,other,1051
10529,Redrock,other,1051
10530,Maxwell,other,1052
10531,Cimarron,other,1052
10532,Ute Park,other,1052
10533,Raton,other,1052
10534,Angel Fire,other,1052
10535,Springer,other,1052
10536,Eagle Nest,other,1052
10537,Talpa,other,1053
10538,Picuris Pueblo,other,1053
10539,Chamisal,other,1053
10540,Arroyo Seco,other,1053
10541,Rio Lucio,other,1053
10542,Vadito,other,1053
10543,Peñasco,other,1053
10544,Questa,other,1053
10545,Taos Ski Valley,other,1053
10546,Red River,other,1053
10547,Taos,other,1053
10548,Costilla,other,1053
