pk,name,category,direct_parents
1405,Wise,county,51
1406,Essex,county,51
1407,Whatcom,county,53
1408,Thurston,county,53
1409,Walla Walla,county,53
1410,Mason,county,53
1411,Island,county,53
1412,Wayne,county,54
1413,McDowell,county,54
1414,Wood,county,54
1415,Jefferson,county,54
1416,Pendleton,county,54
1417,Pocahontas,county,54
1418,Grant,county,55
1419,Brown,county,55
1420,Florence,county,55
1421,Uinta,county,56
1422,Big Horn,county,56
1423,Pinal,county,4
1424,Gila,county,4
1425,Bradley,county,5
1426,Lafayette,county,5
1427,Ouachita,county,5
1428,Lonoke,county,5
1429,Hempstead,county,5
1430,Pike,county,5
1431,Butte,county,6
1432,Sacramento,county,6
1433,Plumas,county,6
1434,Trinity,county,6
1435,Colusa,county,6
1436,Merced,county,6
1437,Sutter,county,6
1438,Arapahoe,county,8
1439,Fremont,county,8
1440,Saguache,county,8
1441,Delta,county,8
1442,Jackson,county,8
1443,Ouray,county,8
1444,San Juan,county,8
1445,Nez Perce,county,16
1446,Franklin,county,16
1447,Twin Falls,county,16
1448,Clark,county,16
1449,Owyhee,county,16
1450,Alexander,county,17
1451,Wabash,county,17
1452,Posey,county,18
1453,Clark,county,18
1454,Newton,county,18
1455,Spencer,county,18
1456,Perry,county,18
1457,Comanche,county,20
1458,Scott,county,19
1459,Camden,county,34
1460,Monmouth,county,34
1461,Union,county,34
1462,Essex,county,34
1463,Seward,county,20
1464,Madison,county,36
1465,Chenango,county,36
1466,Bronx,county,36
1467,Oneida,county,36
1468,Morris,county,34
1469,Warren,county,34
1470,Passaic,county,34
1471,Chautauqua,county,36
1472,Westchester,county,36
1473,Otsego,county,36
1474,Sullivan,county,36
1475,Daviess,county,21
1476,Livingston,county,21
1477,Somerset,county,34
1478,Saratoga,county,36
1479,Lewis,county,21
1480,Onondaga,county,36
1481,St. Bernard,parish,22
1482,Jefferson,parish,22
1483,Caddo,parish,22
1484,Marion,county,12
1485,Calcasieu,parish,22
1486,Knox,county,23
1487,Columbia,county,12
1488,Aroostook,county,23
1489,Oxford,county,23
1490,Seminole,county,12
1491,Anchorage,other,2
1492,Copper River,census area,2
1493,North Slope,borough,2
1494,Somerset,county,24
1495,Charles,county,24
1496,Wicomico,county,24
1497,Worcester,county,24
1498,Washington,county,24
1499,Frederick,county,24
1500,Baltimore,county,24
1501,Montgomery,county,24
1502,Prince George's,county,24
1503,Caroline,county,24
1504,Plymouth,county,25
1505,Barnstable,county,25
1506,Jefferson,county,1
1507,Blount,county,1
1508,Leelanau,county,26
1509,Marshall,county,1
1510,Macon,county,1
1511,Emmet,county,26
1512,Montgomery,county,1
1513,Presque Isle,county,26
1514,Lowndes,county,1
1515,Schoolcraft,county,26
1516,Marengo,county,1
1517,Autauga,county,1
1518,St. Louis,county,27
1519,Cook,county,27
1520,Marshall,county,27
1521,Pike,county,28
1522,Issaquena,county,28
1523,Monroe,county,28
1524,Marshall,county,28
1525,Butler,county,29
1526,Henry,county,19
1527,Lucas,county,19
1528,Marshall,county,19
1529,Audubon,county,19
1530,Mitchell,county,20
1531,Ellsworth,county,20
1532,Ness,county,20
1533,Larue,county,21
1534,Fayette,county,21
1535,Scott,county,21
1536,Bullitt,county,21
1537,Bourbon,county,21
1538,Bell,county,21
1539,Taylor,county,21
1540,Nelson,county,21
1541,Caldwell,county,21
1542,Hart,county,21
1543,Harrison,county,21
1544,Mercer,county,21
1545,Jackson,county,21
1546,Knox,county,21
1547,Carter,county,21
1548,Washington,county,21
1549,Breckinridge,county,21
1550,Owsley,county,21
1551,Iberia,parish,22
1552,Robertson,county,47
1553,Claiborne,county,47
1554,Sevier,county,47
1555,Hawkins,county,47
1556,Franklin,county,47
1557,Chambers,county,48
1558,Cameron,county,48
1559,Hidalgo,county,48
1560,Aransas,county,48
1561,San Patricio,county,48
1562,Maverick,county,48
1563,Brazoria,county,48
1564,El Paso,county,48
1565,Cass,county,48
1566,Red River,county,48
1567,Hartley,county,48
1568,Turner,county,46
1569,Haakon,county,46
1570,Rutherford,county,47
1571,Coffee,county,47
1572,Gibson,county,47
1573,Greene,county,47
1574,Hamblen,county,47
1575,Maury,county,47
1576,Cumberland,county,47
1577,Davidson,county,47
1578,Union,county,47
1579,DeKalb,county,47
1580,Van Buren,county,47
1581,Crockett,county,47
1582,Perry,county,47
1583,Meigs,county,47
1584,Travis,county,48
1585,Bexar,county,48
1586,Walker,county,48
1587,Grimes,county,48
1588,Navarro,county,48
1589,Williamson,county,48
1590,Rusk,county,48
1591,Wood,county,48
1592,Upshur,county,48
1593,Hopkins,county,48
1594,Wharton,county,48
1595,Victoria,county,48
1596,Van Zandt,county,48
1597,Crane,county,48
1598,Colorado,county,48
1599,Dawson,county,48
1600,Pecos,county,48
1601,Robertson,county,48
1602,Dimmit,county,48
1603,Mills,county,48
1604,Gillespie,county,48
1605,Jack,county,48
1606,Reagan,county,48
1607,King,county,48
1608,Bossier,parish,22
1609,Lafayette,parish,22
1610,St. Landry,parish,22
1611,Ouachita,parish,22
1612,Acadia,parish,22
1613,Evangeline,parish,22
1614,Caldwell,parish,22
1615,Red River,parish,22
1616,Franklin,parish,22
1617,Luce,county,26
1618,Blue Earth,county,27
1619,Cass,county,27
1620,Nicollet,county,27
1621,Pope,county,27
1622,Itasca,county,27
1623,Chippewa,county,27
1624,Rankin,county,28
1625,Kemper,county,28
1626,Copiah,county,28
1627,Madison,county,28
1628,Attala,county,28
1629,Grenada,county,28
1630,Boone,county,29
1631,Clinton,county,29
1632,Chariton,county,29
1633,Missoula,county,30
1634,Cascade,county,30
1635,Jefferson,county,30
1636,Lewis and Clark,county,30
1637,Judith Basin,county,30
1638,Chouteau,county,30
1639,McCone,county,30
1640,Pondera,county,30
